city,county,population,city type,store,store type,latitude,longitude,median household income,public transportation,vehicle percentage
Salt Lake City,Salt Lake County,"200,963",Urban,Trader Joe's,Organic Grocery Store,40.76403248,-111.8736576,63156,,
Salt Lake City,Salt Lake County,"200,963",Urban,Harmons,Grocery Store,40.70406753,-111.8568348,63156,,
Salt Lake City,Salt Lake County,"200,963",Urban,Natural Grocers,Organic Grocery Store,40.72995925,-111.8611264,63156,,
Salt Lake City,Salt Lake County,"200,963",Urban,Whole Foods,Organic Grocery Store,40.72709734,-111.8587231,63156,,
Salt Lake City,Salt Lake County,"200,963",Urban,Target,Grocery Store,40.72409463,-111.8551182,63156,,
Provo,Utah County,"116,582",Urban,Walmart,Grocery Store,40.26321827,-111.669774,50072,,
Provo,Utah County,"116,582",Urban,Walgreens,Convenience Store,40.25173647,-111.6685865,50072,,
Provo,Utah County,"116,582",Urban,Sams Club,Grocery Store,40.21632304,-111.6573803,50072,,
Provo,Utah County,"116,582",Urban,Day's Market,Grocery Store,40.27620033,-111.652306,50072,,
Provo,Utah County,"116,582",Urban,Rancho Markets,Grocery Store,40.2583865,-111.6705021,50072,,
South Jordan,Salt Lake County,"84,881",Urban,Sprouts Farmers Market,Organic Grocery Store,40.54127442,-111.9852147,104597,,
South Jordan,Salt Lake County,"84,881",Urban,Natural Grocers,Organic Grocery Store,40.55837043,-111.939164,104597,,
South Jordan,Salt Lake County,"84,881",Urban,Harmons,Grocery Store,40.56507881,-111.9348003,104597,,
South Jordan,Salt Lake County,"84,881",Urban,Target,Grocery Store,40.54185476,-111.9779055,104597,,
South Jordan,Salt Lake County,"84,881",Urban,Smiths,Grocery Store,40.54061013,-112.0211217,104597,,
Orem,Utah County,"99,022",Urban,Maceys,Grocery Store,40.31331096,-111.7005631,65622,,
Orem,Utah County,"99,022",Urban,Smiths,Grocery Store,40.29661482,-111.691561,65622,,
Orem,Utah County,"99,022",Urban,Costco,Grocery Store,40.28016882,-111.6801907,65622,,
Orem,Utah County,"99,022",Urban,Walgreens,Convenience Store,40.28500063,-111.6882699,65622,,
Orem,Utah County,"99,022",Urban,Asian Market,Grocery Store,40.30199123,-111.6961674,65622,,
Logan,Cache County,"52,166",Urban,Natural Grocers,Organic Grocery Store,41.75127285,-111.8360027,43056,,
Logan,Cache County,"52,166",Urban,Walmart,Grocery Store,41.76239232,-111.8309713,43056,,
Logan,Cache County,"52,166",Urban,Lee's Marketplace,Grocery Store,41.82571063,-111.8331553,43056,,
Logan,Cache County,"52,166",Urban,Los Primos Market,Grocery Store,41.74169455,-111.8357078,43056,,
Logan,Cache County,"52,166",Urban,Walgreens,Convenience Store,41.7500412,-111.8353338,43056,,
Wellington,Carbon County,"1,671",Rural,Miller's Travel Center,Convenience Store,39.54329959,-110.6890282,47880,,
Wellington,Carbon County,"1,671",Rural,Chevron,Convenience Store,39.54312094,-110.6890463,47880,,
Wellington,Carbon County,"1,671",Rural,Lin's Market,Grocery Store,39.59997028,-110.824067,47880,,
Wellington,Carbon County,"1,671",Rural,Smiths,Grocery Store,39.60054645,-110.7935491,47880,,
Wellington,Carbon County,"1,671",Rural,Walmart,Grocery Store,39.59652899,-110.7890399,47880,,
Morgan,Morgan County,"4,405",Rural,Family Dollar,Convenience Store,41.04525785,-111.6772115,"100,408",,
Morgan,Morgan County,"4,405",Rural,Ridley's Family Market,Grocery Store,41.04459065,-111.6790429,100408,,
Morgan,Morgan County,"4,405",Rural,Food Mart,Convenience Store,41.03790433,-111.6778895,100408,,
Morgan,Morgan County,"4,405",Rural,7-eleven,Convenience Store,41.04502255,-111.6757873,100408,,
Morgan,Morgan County,"4,405",Rural,Subway,Convenience Store,41.04472247,-111.6765197,100408,,
Farmington,Davis County,"27,940",Rural,It'sugar,Convenience Store,40.98391086,-111.9072675,"99,208",,
Farmington,Davis County,"27,940",Rural,Harmons,Grocery Store,40.98407516,-111.9033253,99208,,
Farmington,Davis County,"27,940",Rural,Smiths ,Grocery Store,41.00246463,-111.9067288,99208,,
Farmington,Davis County,"27,940",Rural,Natural Grocers,Organic Grocery Store,40.8905512,-111.8811759,99208,,
Farmington,Davis County,"27,940",Rural,Bowman's Market,Grocery Store,41.04846299,-111.9410233,99208,,
Roosevelt,Duchesne County,"7,704",Rural,Davis Food & Drug,Grocery Store,40.30166387,-109.9805886,57659,,
Roosevelt,Duchesne County,"7,704",Rural,Stewart's Marketplace,Convenience Store,40.28982085,-109.9951169,57659,,
Roosevelt,Duchesne County,"7,704",Rural,Family Dollar,Convenience Store,40.30201662,-109.9811738,57659,,
Roosevelt,Duchesne County,"7,704",Rural,Family Dollar,Convenience Store,40.29019026,-109.997242,57659,,
Roosevelt,Duchesne County,"7,704",Rural,Ellie's Ez Stop,Convenience Store,40.29676517,-109.98807,57659,,
Woods Cross,Davis County,"11,773",Rural,Smiths,Grocery Store,40.86556174,-111.8977586,"85,453",,
Woods Cross,Davis County,"11,773",Rural,Family Dollar,Convenience Store,40.8741292,-111.8927804,85453,,
Woods Cross,Davis County,"11,773",Rural,Lee's Marketplace,Grocery Store,40.8559961,-111.9316497,85453,,
Woods Cross,Davis County,"11,773",Rural,Farmer's Market,Organic Grocery Store,40.87278904,-111.8898998,85453,,
Woods Cross,Davis County,"11,773",Rural,Convenient Store,Covenience Store,40.8758166,-111.9023934,85453,,
